bin_id,timestamp,t_start_sec,excerpt,heuristic_verdict,electra_verdict,electra_talk_moves,system_agreement,annotator_friction,notes
32,15:30–16:00,930,"[T] Yeah, curved inside. The- the other word that means the opposite of that also starts with that. [T] Concave. Yeah. Now convex polygon is the sort we just drew. But for example, a concave polygon... looks like that. [T] And the easy way to remember it is, is that part of it is caved in. Okay? It'",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
33,16:00–16:30,960,"[T] And the easy way to remember it is, is that part of it is caved in. Okay? It's pointing inwards. Convex polygon, everything is point outwards. [T] So you have to make sure that your polygons stay like that. The investigation is to find out something about these... exterior angles. [T] And you're",RISKY,HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
34,16:30–17:00,990,"[T] And you're starting off with five of them. In the space up here just write down what you think might be something, a fact, that you might discover about those angles.",RISKY,HIGH,Keeping Everyone Together,HEURISTIC_ONLY,0,
35,17:00–17:30,1020,"[T] And you're starting off with five of them. In the space up here just write down what you think might be something, a fact, that you might discover about those angles. [T] There are some sentences starting, ""I think that all of the exterior angles will"". Some people are getting a bit more specifi",RISKY,HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
36,17:30–18:00,1050,"[T] There are some sentences starting, ""I think that all of the exterior angles will"". Some people are getting a bit more specific than that. [T] Ah, some people are saying ""they may"". Hedging their bets a little bit. [T] Take a guess anyway, because it doesn't matter if you're wrong. But it will be",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
37,18:00–18:30,1080,"[T] Take a guess anyway, because it doesn't matter if you're wrong. But it will be interesting to test and see if you're correct. [T] Okay, there's a few different ideas written down there.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
38,18:30–19:00,1110,"[T] Okay, there's a few different ideas written down there. [T] And we'll actually have a look at everyone's later on, but for the moment it's just you thinking about your own one and seeing whether it proves to be correct or not. [T] What's that sort of thing called that you've just written down? [",RISKY,HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
39,19:00–19:30,1140,"[T] I see most people have already. Just in case it goes astray. Now you'll be working at the computers in groups of two or maybe three. [T] Um, the computer that wasn't working yesterday has decided it's much happier about working today, so they all are working. Uh, so if you'd like to... do that.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
40,19:30–20:00,1170,"[T] Um, the computer that wasn't working yesterday has decided it's much happier about working today, so they all are working. Uh, so if you'd like to... do that.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
41,20:00–20:30,1200,,RISKY(unknown),UNKNOWN,,HEURISTIC_ONLY,0,
42,20:30–21:00,1230,"[T] Notice I've fixed up- [T] Very well. That's great. [T] Well, there's a pentagon already. [T] How come they do what? [T] Oh. Yeah. Yeah. Now be careful with what I was saying before. Rather than using that point, you need to use the one that's already on there.",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
43,21:00–21:30,1260,"[T] Oh. Yeah. Yeah. Now be careful with what I was saying before. Rather than using that point, you need to use the one that's already on there. [T] So how do we get rid of that one? Is there a way to undo that thing? Yeah okay. You can move... move that along a little bit and then go back to um... ",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
44,21:30–22:00,1290,"[T] Yeah, that's good. You can make it a bit bigger, but, uh, it should click on to that last. [T] Just make sure- just make sure they join. Get rid of that one. [T] Use the pointer tool, just to make sure that it's all joined together. Move them around a bit, and make sure they stay. No that's not ",RISKY,RISKY,No Move,BOTH_RISKY,0,
45,22:00–22:30,1320,"[T] Yep. [T] Okay, if you go down to there. Just move the pointer down. It should join up. (inaudible) [T] Oh, no, you don't want this to join up to that one yet, do you? No. That's true. You know what you're doing here. I don't. That's fine, actually.",RISKY(unknown),HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
46,22:30–23:00,1350,"[T] Oh, no, you don't want this to join up to that one yet, do you? No. That's true. You know what you're doing here. I don't. That's fine, actually. [T] See, what's happened here is you didn't... start the next one there, okay. [T] And then that- that makes sure they're joined up, if you do that ra",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
47,23:00–23:30,1380,"[T] And then that- that makes sure they're joined up, if you do that rather than having separate ones. [T] Can I just test this one for you? [T] Let's make sure they're all joined on. Let's see, that's really not quite joined on. You've got too many points there. [T] What you need to do with your- w",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
48,23:30–24:00,1410,"[T] Okay, and then your- your next one starts with the point that's already on it. You can also move it around, so it looks a bit bigger, like so. [T] Okay that's fixed that. Then start with that point. Then- then they're all joined nicely.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
49,24:00–24:30,1440,"[T] Okay let's just check they're all nicely joined. Seems to be quite nicely joined. Okay, now, see what it says there... you've done that, you've done that. [T] On the rays outside of the pentagon construct points so we need to construct some points outside... we need those. So we can talk about t",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
50,24:30–25:00,1470,"[T] On the rays outside of the pentagon construct points so we need to construct some points outside... we need those. So we can talk about the angles. [T] All right now to measure the angles, you would go... that- that- that. Now that's one of the exterior angles, isn't it? So now we... can measure",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
51,25:00–25:30,1500,[T] Something tells me its going in the wrong direction. See all these are going around that way. [T] And that one's going off in that direction. Can we just (inaudible) suppose we draw it over...like so. [T] See how now they're all going around in the same direction. Like the diagram?,HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
52,25:30–26:00,1530,[T] See how now they're all going around in the same direction. Like the diagram? [T] That's a good one. [T] How are we going with ours? Yeah that's looking... looking good so far.,HIGH,HIGH,Keeping Everyone Together,BOTH_SAFE,0,
53,26:00–26:30,1560,"[T] How are we going with ours? Yeah that's looking... looking good so far. [T] Hang on. What are we doing here- oh. What you've got to do- can I just use this- cancel that. [T] You've actually got to select these things before you put them in the formula. So you do that. Then you go ""Calculate"". [T",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
54,26:30–27:00,1590,[T] And then you can- then you can have that angle plus that angle plus... [T] No. That's what it says in step three. On the rays outside of the pentagon construct points. So you've just got to select the point tool and click somewhere out there.,HIGH,RISKY,No Move,ELECTRA_ONLY,0,
55,27:00–27:30,1620,[T] Otherwise you can't- You might need the point tool... That's good. And then just make sure it joins up. Yes. That's good.,HIGH,RISKY,No Move,ELECTRA_ONLY,0,
56,27:30–28:00,1650,[T] Otherwise you can't- You might need the point tool... That's good. And then just make sure it joins up. Yes. That's good. [T] It doesn't matter if they're not labeled really exactly the same way. Just as long as they've got labels. Okay. [T] I think you might need the select tool.,HIGH,RISKY,No Move,ELECTRA_ONLY,0,
57,28:00–28:30,1680,"[T] I think you might need the select tool. [T] Well, no, 'cause it's all about the exterior angles, isn't it? So we don't really want to know about the interior ones. Now do you remember how to measure the angle? [T] That should be o-. That should be okay.",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
58,28:30–29:00,1710,"[T] That should be o-. That should be okay. [T] Remember... click somewhere to get rid of the other selection and then go that, that, that... Do you remember how to measure the angles? [T] Good. [T] After you've got something good like a, uh, a diagram with a pentagon and- and maybe a formula even, ",RISKY(unknown),HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
59,29:00–29:30,1740,"[T] After you've got something good like a, uh, a diagram with a pentagon and- and maybe a formula even, you might probably save that. Just... it's a good idea to save things. [T] Call it 'Exterior Angle Pentagon'. So then if you do some other exterior angles, you can give it similar names. [T] Okay",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
60,29:30–30:00,1770,"[T] Okay. What about if you make it concave? [T] Yeah. Once it's concave it doesn't stay- yep. [T] Point two? [T] Hmm, let's just- show all the labels. A B C D E, A B C You've got angle D H D which is yeah 'cause you've actually measured angle D H E, which is that angle over there.",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
61,30:00–30:30,1800,"[T] Hmm, let's just- show all the labels. A B C D E, A B C You've got angle D H D which is yeah 'cause you've actually measured angle D H E, which is that angle over there. [T] You've got to go like that. You can easily check up by the vertices 'cause you should have angles A B C D E look in the mid",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
62,30:30–31:00,1830,"[T] You've got to go like that. You can easily check up by the vertices 'cause you should have angles A B C D E look in the middle. A B C H. So that one there needs to be changed. [T] But it'll mean you have to change your formula as well. [T] Okay you think- Yeah, you've got to go back one stage...",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
63,31:00–31:30,1860,"[T] Okay you think- Yeah, you've got to go back one stage... because you have to select the measurements you want for your formula before you do it. [T] Now when you go to calculate you can say... [T] That angle plus the second one plus and so on.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
64,31:30–32:00,1890,"[T] Yes. Excellent idea. [T] No, you've got room in the corner there to write it. Do you remember how to do that? [T] I think you have to select the little- the little hand. And then do what you just did. [T] Yeah. Now you can write.",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
65,32:00–32:30,1920,[T] Yeah. Now you can write. [T] Now. Let me see... You should have in the outbox (inaudible) and look in the middle (inaudible) You've got one with Jack.,HIGH,RISKY,No Move,ELECTRA_ONLY,0,
66,32:30–33:00,1950,"[T] Now. Let me see... You should have in the outbox (inaudible) and look in the middle (inaudible) You've got one with Jack. [T] Yeah. You- yeah. So... yeah you want that one, which means you're going to have to change the formula as well. [T] Oh, triangles, too. [T] Have you saved what you've been",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
67,33:00–33:30,1980,"[T] People, can you just turn around and face me for a moment please. Uh, you- most people are getting to have the formula. And in most cases you're finding a reasonable looking result. [T] If you get something that looks a bit strange it could well be that you haven't measured exactly the right ang",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
68,33:30–34:00,2010,"[T] If you haven't got up to finding out how to do a text box yet, just ask me. Uh, and I'll show you how to do that. Okay? [T] Well, which polygons have you tried so far? [T] You've only tried a pentagon. [T] Okay. So... if it said what is the sum- the measure is just the size, really. Which is wha",RISKY,HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
69,34:00–34:30,2040,"[T] Okay. So... if it said what is the sum- the measure is just the size, really. Which is what you found. So it's just the sum of the angles, really. [T] Exterior angles. Now for the pentagon it turned out to be 360 degrees. [T] Now they're asking you- assuming you've also done triangles, quadrilat",RISKY,HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
70,34:30–35:00,2070,"[T] Does the total go up perhaps as you add to the number of sides, or what happens? That's, that's what it's asking you to, to write down about. Um, what did you do there? [T] Well can you do it again? [T] Ah. [T] The top of it is slightly off the screen because you haven't got your, um, your thing",RISKY(unknown),HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
71,35:00–35:30,2100,"[T] And that should just make it nicely fill up the screen if you could click on that. Okay. Now you going to write something about it then? [T] Do you know how to do that? [T] Uh, yes, I think so. Now, your conclusion says when you move the parts of the pentagon, the sum of the angles does not chan",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
72,35:30–36:00,2130,"[T] Uh, yes, I think so. Now, your conclusion says when you move the parts of the pentagon, the sum of the angles does not change. [T] Okay so exterior angles would be a good thing to add in there. And one other, one other fairly important fact that you could mention... but just think about it. [T] ",RISKY(unknown),HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
73,36:00–36:30,2160,"[T] Okay but just think about when you say it does not change, what doesn't it change from? [T] Text box. Use this little thing. And you just drag it where you want the box. And then you get a usual sort of insertion point you can start typing.",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
74,36:30–37:00,2190,[T] Text box. Use this little thing. And you just drag it where you want the box. And then you get a usual sort of insertion point you can start typing. [T] Now... If you look at that angle there. Is that angle I B C? Is that what it says?,HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
75,37:00–37:30,2220,"[T] Okay. Now if we trace angle I B C, it goes from there to there, to there. Now, is that one of the exterior angles of the polygon? In fact what would you really call it? [T] Interior angle. Are all the other ones the same? [T] Yeah so-",RISKY(unknown),HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
76,37:30–38:00,2250,"[T] Yeah so- [T] Will we get the computer to do that for us? You need to do a little- can I just do this? [T] Before you do that, you just need to select the angles that you want. Or any other measurements for that matter. [T] Then go calculator. Now what it allows you to do is, you say that angle p",RISKY(unknown),RISKY,No Move,BOTH_RISKY,0,
77,38:00–38:30,2280,"[T] Then go calculator. Now what it allows you to do is, you say that angle plus that angle plus. It will actually build it up for you like so.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
78,38:30–39:00,2310,"[T] Um, mm. Good question. Let me try. I'm not sure if you can do it easily. Something there. Maybe that looks like a degree sign.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
79,39:00–39:30,2340,"[T] Um, mm. Good question. Let me try. I'm not sure if you can do it easily. Something there. Maybe that looks like a degree sign. [T] (inaudible) [T] Yeah. That's, that's what they're asking about down here where they talk about some of the measurements in these polygons. They're talking about ones",RISKY(unknown),HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
80,39:30–40:00,2370,"[T] What's- hang on I'm trying to read that. [T] When you move parts of the pentagon angles change in degrees, but this does not affect the sum. [T] Yes the sum of the exterior angles are the same for any convex polygon which is 360 degrees.",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
81,40:00–40:30,2400,"[T] Yeah, I'd sort of maybe suggest that you put the bit about the 360 degrees first. And then say, and discuss the change if you change the uh polygon. [T] But yeah, it's good. [T] Yes. I don't think we really have time to do much of that today, but save this one before you go any further. [T] Uh, ",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
82,40:30–41:00,2430,"[T] People, I think we're going to have to finish off for now. So, if you haven't already saved, you need to save it at this stage. [T] If you've saved it before then, re-save it just to get the most up-to-date thing. We'll come back to that later. [T] Can you save and close off, log out. And if you",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
83,41:00–41:30,2460,"[T] When you're choosing a name for it, try and choose a name that actually means something. [T] Yeah. The reason probably is- These one's- these one's are rounded off slightly.",HIGH,HIGH,Keeping Everyone Together,BOTH_SAFE,0,
84,41:30–42:00,2490,"[T] Yeah. The reason probably is- These one's- these one's are rounded off slightly. [T] Now the computer probably knows that that's really ninety point two and that's really seventy-three point one. [T] So it's- it hasn't displayed the decimals, but it's sort of got it in it's memory and it's inclu",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
85,42:00–42:30,2520,"[T] So it's- it hasn't displayed the decimals, but it's sort of got it in it's memory and it's included that in the total as well. [T] Pack up? Yes you can pack up. [T] People, just before you go, we got about as far as I thought we would in that amount of time. And obviously that's only about half ",RISKY,HIGH,"Keeping Everyone Together, No Move",HEURISTIC_ONLY,0,
86,42:30–43:00,2550,"[T] But just before you go, who found that their conjecture or prediction was confirmed by what they did? [T] Now not everyone had a prediction that the total was going to be 360. Some predicted 180. [T] A few people had quite different predictions such that all the angles will be less than 90 degre",HIGH,HIGH,"Keeping Everyone Together, No Move",BOTH_SAFE,0,
87,43:00–43:30,2580,"[T] Okay, we'll be continuing on with this at a later stage.",HIGH,RISKY,No Move,ELECTRA_ONLY,0,
